		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000   21   34   26   23   28   26   30   27  6.860945 0.551707 SUCCESS  76
100101000   27   22   29   27   24   24   22   30  3.300817 0.914087 SUCCESS  77
100110000   16   25   19   31   27   19   18   20 10.160252 0.253958 SUCCESS  78
100111000   29   33   17   18   26   32   35   23 15.486542 0.050347 SUCCESS  79
101000000   26   20   23   23   16   32   22   24  6.780845 0.560452 SUCCESS  80
101000100   19   23   34   25   20   22   23   26  6.493546 0.592124 SUCCESS  81
101001000   26   20   25   23   24   25   27   30  2.664655 0.953610 SUCCESS  82
101001100   16   26   25   28   31   17   31   25  9.688923 0.287542 SUCCESS  83
101010000   32   20   21   29   21   20   28   30  7.841999 0.449055 SUCCESS  84
101010100   27   20   24   14   25   19   21   23  7.516305 0.482084 SUCCESS  85
101011000   24   22   18   18   29   14   18   22 11.175729 0.191940 SUCCESS  86
101011100   27   29   27   30   27   27   27   24  3.666892 0.885858 SUCCESS  87
101100000   33   28   17   29   30   23   21   28  9.351313 0.313532 SUCCESS  88
101100100   19   30   22   18   20   26   27   31  7.603686 0.473108 SUCCESS  89
101101000   32   22   27   25   27   22   24   21  4.020389 0.855279 SUCCESS  90
101101100   36   33   20   22   28   22   24   35 15.462048 0.050760 SUCCESS  91
101110000   26   30   27   34   21   23   29   15 10.842091 0.210808 SUCCESS  92
101110100   28   18   28   28   26   26   28   31  5.996399 0.647635 SUCCESS  93
101111000   24   24   24   28   35   24   28   19  7.122427 0.523483 SUCCESS  94
101111100   28   27   25   24   33   29   23   22  5.216587 0.734196 SUCCESS  95
110000000   26   22   20   33   29   18   28   22  7.731448 0.460133 SUCCESS  96
110000010   34   23   30   20   23   32   24   25  8.690657 0.369060 SUCCESS  97
110000100   20   20   26   26   21   23   21   28  3.467636 0.901687 SUCCESS  98
110001000   28   20   12   25   31   25   18   33 14.627954 0.066796 SUCCESS  99
110001010   22   19   16   14   36   22   26   26 15.211158 0.055167 SUCCESS 100
110010000   21   36   31   16   20   33   36   29 21.580066 0.005756 FAILURE 101
110010010   25   27   21   20   25   27   35   24  6.681548 0.571348 SUCCESS 102
110010100   20   18   31   29   27   23   24   34  9.579696 0.295773 SUCCESS 103
110011000   26   28   21   21   22   32   24   19  5.570084 0.695263 SUCCESS 104
110011010   18   22   31   29   18   30   28   26  8.443739 0.391367 SUCCESS 105
110100000   29   21   28   30   20   32   26   21  7.131033 0.522564 SUCCESS 106
110100010   21   19   29   24   20   20   21   21  5.245714 0.731020 SUCCESS 107
110100100   21   20   24   26   14   29   26   30  8.340470 0.400938 SUCCESS 108
110101000   30   19   17   25   15   22   28   27  9.720698 0.285179 SUCCESS 109
110101010   20   24   28   17   27   23   19   25  5.314560 0.723487 SUCCESS 110
110101100   26   23   34   16   28   23   22   23  8.044565 0.429129 SUCCESS 111
110110000   26   23   28   31   23   26   26   23  2.970490 0.936196 SUCCESS 112
110110010   23   26   26   17   21   16   16   32 11.533198 0.173278 SUCCESS 113
110110100   25   20   26   23   24   15   27   28  5.611789 0.690626 SUCCESS 114
110111000   20   21   24   23   16   19   31   21  7.957183 0.437664 SUCCESS 115
110111010   31   16   18   21   26   29   22   26  8.416597 0.393869 SUCCESS 116
110111100   25   21   24   28   29   19   21   17  6.001033 0.647116 SUCCESS 117
111000000   21   30   20   29   26   24   35   20  9.232156 0.323092 SUCCESS 118
111000010   20   20   34   28   20   24   17   25  9.255326 0.321217 SUCCESS 119
111000100   25   33   16   23   32   25   24   22  8.934928 0.347815 SUCCESS 120
111000110   22   31   27   24   25   25   34   24  6.326727 0.610684 SUCCESS 121
111001000   27   33   26   24   24   33   39   15 19.453125 0.012615 SUCCESS 122
111001010   24   22   17   24   25   18   18   32  8.508613 0.385426 SUCCESS 123
111001100   33   27   19   24   18   27   29   15 11.323351 0.184042 SUCCESS 124
111010000   30   22   29   32   24   26   27   28  5.869961 0.661796 SUCCESS 125
111010010   24   20   24   24   15   29   21   30  7.297851 0.504864 SUCCESS 126
111010100   29   23   19   28   19   30   27   29  6.512081 0.590068 SUCCESS 127
111010110   30   25   29   22   27   20   18   19  6.561068 0.584642 SUCCESS 128
111011000   24   20   25   25   17   27   14   13 13.548265 0.094326 SUCCESS 129
111011010   25   24   34   23   20   17   25   32  9.612795 0.293261 SUCCESS 130
111011100   21   19   19   24   17   25   29   25  6.212205 0.623475 SUCCESS 131
111100000   33   24   20   27   26   24   28   32  7.360740 0.498258 SUCCESS 132
111100010   26   28   20   19   34   27   20   26  7.833393 0.449912 SUCCESS 133
111100100   27   25   25   26   18   27   33   17  7.900915 0.443209 SUCCESS 134
111100110   31   27   25   20   25   30   20   24  5.139135 0.742607 SUCCESS 135
111101000   25   26   23   25   19   24   24   31  3.316705 0.912940 SUCCESS 136
111101010   24   21   27   34   19   29   23   33 10.037786 0.262384 SUCCESS 137
111101100   22   27   24   25   18   34   17   18 10.246309 0.248162 SUCCESS 138
111101110   22   19   18   20   12   20   26   22 11.717229 0.164273 SUCCESS 139
111110000   24   23   24   27   24   27   25   24  0.698575 0.999530 SUCCESS 140
111110010   26   31   16   18   20   23   31   24  9.433398 0.307063 SUCCESS 141
111110100   24   28   30   28   22   27   23   25  3.063829 0.930288 SUCCESS 142
